qsize 7, out_qsize 0
2016-06-15 15:39:44,326: INFO: PROGRESS: at 90.51% examples, 258328 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:45,338: INFO: PROGRESS: at 90.56% examples, 258330 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:46,367: INFO: PROGRESS: at 90.59% examples, 258329 words/s, in_qsize 8, out_qsize 1
2016-06-15 15:39:47,365: INFO: PROGRESS: at 90.64% examples, 258336 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:39:48,405: INFO: PROGRESS: at 90.68% examples, 258331 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:49,421: INFO: PROGRESS: at 90.73% examples, 258335 words/s, in_qsize 7, out_qsize 1
2016-06-15 15:39:50,418: INFO: PROGRESS: at 90.77% examples, 258335 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:51,459: INFO: PROGRESS: at 90.81% examples, 258335 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:52,485: INFO: PROGRESS: at 90.86% examples, 258336 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:53,511: INFO: PROGRESS: at 90.90% examples, 258341 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:54,543: INFO: PROGRESS: at 90.95% examples, 258342 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:55,578: INFO: PROGRESS: at 91.00% examples, 258347 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:39:56,578: INFO: PROGRESS: at 91.05% examples, 258349 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:57,627: INFO: PROGRESS: at 91.09% examples, 258348 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:58,663: INFO: PROGRESS: at 91.14% examples, 258351 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:39:59,673: INFO: PROGRESS: at 91.19% examples, 258350 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:00,726: INFO: PROGRESS: at 91.24% examples, 258350 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:01,733: INFO: PROGRESS: at 91.28% examples, 258349 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:02,768: INFO: PROGRESS: at 91.32% examples, 258349 words/s, in_qsize 8, out_qsize 0
